 5 1 2101.342404 1.802e-230.0680.068  2181.3690.740
 5 1 2101.491360 7.838e-280.0710.071  4271.3870.740
 5 1 2103.269747 3.253e-190.0590.059   211.4040.750
 5 1 2105.125500 9.908e-280.0680.068  4282.7120.740
 5 1 2105.256560 1.458e-230.0710.071  2166.1310.740
 5 1 2107.423222 3.535e-190.0590.059   172.9780.750
 5 1 2108.724053 1.153e-270.0650.065  4297.8100.740
 5 1 2109.136154 1.030e-230.0760.076  2154.7010.750
 5 1 2111.543014 3.725e-190.0610.061   138.3900.750
 5 1 2112.286871 1.265e-270.0630.063  4316.6820.740
 5 1 2112.981038 5.354e-240.0800.080  2147.0810.760
 5 1 2115.628975 3.793e-190.0620.062   107.6420.750
 5 1 2115.813807 1.324e-270.0620.062  4339.3270.750
 5 1 2119.304715 1.334e-270.0610.061  4365.7440.750
 5 1 2119.680959 3.713e-190.0630.063    80.7350.740
 5 1 2120.566089 5.474e-240.0800.080  2143.2710.760
 5 1 2122.759447 1.298e-270.0590.059  4395.9320.750
 5 1 2123.698818 3.468e-190.0650.065    57.6700.740
 5 1 2124.305963 1.077e-230.0760.076  2147.0810.750
 5 1 2126.177857 1.225e-270.0590.059  4429.8900.750
 5 1 2127.682406 3.052e-190.0680.068    38.4480.740
 5 1 2128.010540 1.559e-230.0710.071  2154.7010.740
 5 1 2129.559799 1.124e-270.0580.058  4467.6160.750
 5 1 2131.631576 2.472e-190.0710.071    23.0700.740
 5 1 2131.679673 1.971e-230.0680.068  2166.1310.740
 5 1 2132.905125 1.004e-270.0570.057  4509.1090.740
 5 1 2135.313215 2.292e-230.0650.065  2181.3690.740
 5 1 2135.546180 1.746e-190.0760.076    11.5350.750
 5 1 2136.213688 8.743e-280.0560.056  4554.3670.730
 5 1 2138.911020 2.512e-230.0630.063  2200.4160.740
 5 1 2139.426073 9.083e-200.0800.080     3.8450.760
 5 1 2139.485343 7.431e-280.0550.055  4603.3890.720
 5 1 2142.472940 2.627e-230.0620.062  2223.2710.750
 5 1 2142.719943 6.172e-280.0540.054  4656.1720.710
 5 1 2145.917341 5.010e-280.0540.054  4712.7160.700
 5 1 2145.998829 2.643e-230.0610.061  2249.9330.750
 5 1 2147.081134 9.290e-200.0800.080     0.0000.760
 5 1 2149.077390 3.978e-280.0530.053  4773.0160.690
 5 1 2149.488540 2.569e-230.0590.059  2280.4010.750
